sku,rating,good points,bad points
B12ABB0221,9,Zeer licht van gewicht.,Een binnenzak was handig geweest.
ADBID90003,7,Warm en zeer comfortabel. Genoeg vakken en waterdicht bij grote regenbuien.,"De rits is steeds op hetzelfde punt kapot gegaan (aanhechtpunt onderaan), waardoor ik een eerste jas na 3 weken heb geroutineerd voor een nieuwe. De nieuwe ging op precies hetzelfde punt kapot na iets minder dan 3 maanden. Steeds netjes opgelost in de winkel door de jas in te nemen."
ADBID90003,9,"Fijn materiaal, past goed, warm, meerdere zakken","De onderkant van de jas mag wat breder, bukken is erg lastig. Ook zouden meer zakken fijn zijn."
ADBID90003,8,"genoeg zakken, afneembaar capuchon",beetje krap op de buik. het is toch maat XL
ADBID90003,8,Heerlijk warme voering Veel praktische zakken  Goede pasvorm  Capuchon ook warm en goed bruikbaar,"Zakken iets laag om handen makkelijk in te steken, maar begint wel te wennen"
ADBID90003,8,Lekkere warme jas,De rits werkt niet goed/is al kapot na 2 weken.  Dit ga ik nog even opnemen met Bever
ADBID90003,10,"Super jas, heerlijk warm, goed water bestendig. Dit is mijn tweede van dit type en deze voelt nog beter dan de vorige. Maat L, 1,87m 88kg",Nog niet ontdekt
ADBID90003,9,Voldoet tot nu aan de verwachtingen.,Ritssluiting had ook van onder open kunnen.
ADBID90003,9,Lekker warm en comfortabel.,Geen
ADBID90003,8,De jas heeft een goede pasvorm. Veel jaszakken. Mooie lange lengte,Ventilatie ritsen onder de armen waren een goede extra optie geweest.
ADBGF00018,8,Zit heerlijk,Is helaas niet waterdicht
ADBGF00018,9,"Pasvorm, comfort, hergebruik materiaal, kleur",Niet ontdekt
ADBGF00018,7,Lekker warm en fijne capuchon.,Mouwen iets strakker bij de pols.
ADBGF00018,8,Erg handig het meegeleverde hoesje.,Nog niet.
ADBGF00018,10,Kwaliteit van materiaal,"Meer duurzame materialen gebruiken. Andere merken zijn daar sterker in , maar deze zit wel heel lekker!."
ADBGF00018,9,"Licht, warm, dun, pasvorm, stijl",Veren komen uit naaigaatjes soms!!!
ADBGF00018,8,"Ik ben nogal gezet, dus een herenmodel aangeschaft. Heerlijk ruim in de schouders, waardoor je alle bewegingsvrijheid hebt. Lekker licht en heerlijk warm.","Juist aan de onderkant is hij erg passend. Doordat hij wat langer is, (is op zich heel fijn) knelt het een beetje bij het zitten of bukken."
ADBGF00018,10,Mooi uiterlijk. Licht en warm,De mouwen zijn iets te lang
ADBID90003,7,Warm tijdens koude (4 graden) waterrepellent is voldoende tijden lichte regen,Ruim rond nek.Sjaal of col is nodig.
ADBID90003,8,"Erg comfortabel, ademt goed en handige zakken","Als de binnenvoering uitneembaar zou zijn, heb je een heerlijke meerseizoenen jas."
ADBID90003,8,Heerlijk warm!,Geen.
ADBID90003,9,"Fijne pasvorm, stoer, fijne stof ,waterafstotend.",Nog niet ondekt
ADBID90003,9,Heerlijk warm Comfortabel Mooi,Eigenlijk geen
ADBID90003,8,"Veel zakken, lekker warm, leuke kleur binnenvoering.",Afritsbare binnenvoering.
ADBID90003,7,"Comfortable warme jas, leuk model met praktische zakken en afneembare capuchon.",Er mag wel wat robuuster sluitwerk gebruikt worden. De ritsen en drukknopen zijn van een mindere kwaliteit.
B12ABB0181,8,"Goeie kwaliteit, redelijke prijs.","Geen, prima product."
B12ABB0181,9,"Goed isolerend,",Geen
B12ABB0181,9,"Prima pasvorm. Ik heb normaal maat XL, Ayacucho valt klein wist ik op voorhand, daardoor bewust maat XXL gekocht.  Ruime zakken, pluspunt!",Wellicht iets beter isolatiewaarde. Bodywarmer is niet heel dik.
B12ABB0181,9,"Mooi, slanke bodywarmer",-
B12ABB0181,10,bodywarmer is lekker dun en toch warm,nee
B12ABB0181,8,Goede afwerking en prijs,De donsvulling zou dikker mogen zijn
B12ABB0181,8,Ziet er mooi uit. Binnenzijde is ook erg mooi afgewerkt,Geen
B12ABB0181,9,Licht en goed isolerend.,Nee.
ADBID90003,7,Zacht,Mouwen iets te kort . Te lange lever tijd vind ik
ADBID90003,9,Alles is tiptop,"Geen, prima zo"
ADBID90003,8,Jas is lekker warm.,Zakken om je handen in te stoppen zitten wat laag.
ADBID90003,8,lekker warm,kleur voering
ADBID90003,9,Comfortabel en lekker warm. Betaalbaar. Voelt kwalitatief goed aan.,De vorm is redelijk recht en lang. Iets meer taillering was mooier geweest.
B12ABB0179,8,Draagt lekker nvt,Geen idee
B12ABB0179,8,Licht gewicht jas,Trui zit onder de veren na het dragen van de jas
B12ABB0179,9,Milieuvriendelijkheid van het merk. Heerlijk warm en licht Jack.,Iets betere binnenskamers had gemogen.
B12ABB0179,9,De jas zit heerlijk licht om je lichaam heen. Is ook lekker warm voor ze een dunne jas.,"Helaas donsvulling, liever gewatteerd."
B12ABB0179,9,Dat hij lekker zit.,Geen verbeter punten.
B12ABB0179,5,Zit lekker,"De donsveren komen er na elke keer dragen uit(binnenkant en buitenkant). Deze blijven dan op je trui achter. Dit is heel storend, omdat het om tientallen veertjes gaat. De jas is al eens omgeruild, maar het probleem blijft."
B12ABB0179,9,Duurzame kwaliteit,"Onderzijde laat wat wind binnen, gebruik van elastiek onderzijde helpt echter wel om dit op te lossen"
B12AD90185,10,Alles,Nee
ACACF10001,8,Zit heerlijk. Lekker licht en warm. Fijne pasvorm. Sluit lekker aan bij de nek. Winddicht.,Nog niet gevonden
ACACF10001,8,"Prima, goed isolerende laag. Lekker warm.",Een binnenzak was handig geweest.
ACACF10001,8,Prijs en licht van gewicht,Waterafstotend
ACACF10001,10,Dit is een heel goed merk en goede kwaliteit.,N.V.T
ACACF10001,8,"Lichtgewicht, warm.",Geen binnenzak
ACACF10001,8,Lekker warm onder een water- en winddichte buitenlaag.,"De kraag is een tikkie ruim waardoor je bij wind snel een koude nek krijgt. Buff, sjaal of col lost dat overigens wel op."
ACACF10001,9,Valt zeer goed en is lekker ligt en warm.,Binnen zak had fijn geweest.
ACACF10001,8,Licht en comfortabel jack!,Er had van mij wel een binnenzak(je) in mogen zitten.
ACACF10001,6,voelt wel warm aan,"geen binnenzak, rits die moeilijk in elkaar valt en de band aan de onderkant is vrij slap"
ACACF10001,10,Comfortabel en kwaliteit  en model en pasvorm.,Nog niet kunnen ontdekken.
DABAF00007,8,"licht materiaal, past bij mij perfect.",Rits komt (te) makkelijk klem te zitten.
DABAF00007,9,"De jas heeft een goede pasvorm, zit comfortabel en is goed waterdicht.",Niet super compact; net niet het formaat dat je achterin je fietsshirt stopt.
